New mode =, SurroundingModel , dataset_limit=,1500,estimation_limit=,300,estimation_dist=,0.9,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.1,output_size_avg_best=,0,random_sample_coef=,0.4,input_size_avg_worst=,1500,output_coef_avg_worst=,0
21,2.79297,-0.730294,0.479336,3.7236,2.16145,0.465317,0.151194,-4.31247,0.532699,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.79297,-0.730294,0.479336,5.14069,1.37156,0.494066,0.179911,-4.32882,0.528148,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4.83748,1.45628,0.49699,0.0950816,-4.24908,0.52991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.05013,1.37812,0.498537,0.0950816,-4.24908,0.52991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.13299,1.68501,0.488739,0.0500167,-4.09144,0.550176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4.22182,1.68743,0.489158,3.56638,-1.07351,0.545292,0.0870584,-4.14057,0.541751,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3.92595,1.67389,0.481184,0.0870584,-4.14057,0.541751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.53292,1.90918,0.479196,2.42636,-0.98141,0.537033,0.288131,-4.54761,0.54367,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.15779,1.97217,0.430687,2.98231,-1.03726,0.531123,0.198008,-4.29916,0.586426,8.94314,0.315492,0.516546,,,,,,,,,,,,,,,,,,,,,,,
30,2.37247,1.53797,0.459436,2.76923,-1.16827,0.534217,0.613885,-5.65165,0.562966,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.65226,1.9314,0.444422,2.94392,-1.05586,0.540422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.05373,1.5566,0.473227,0.865468,-6.57218,0.439796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.52101,2.28816,0.468172,2.68082,-1.19653,0.560123,0.693781,-5.72834,0.507355,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.7939,1.47159,0.4768,0.911103,-6.39377,0.444339,4.26819,9.75636,0.54973,2.12253,10.4213,0.509565,,,,,,,,,,,,,,,,,,,,,,,
35,1.44542,2.23072,0.456553,3.41162,-1.02867,0.526407,0.706992,-5.78767,0.493018,4.43384,10.2359,0.587947,,,,,,,,,,,,,,,,,,,,,,,
36,1.4529,2.22675,0.455969,3.39945,-1.00339,0.512017,0.911103,-6.39377,0.444339,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.51571,2.02115,0.46177,3.34746,-1.01785,0.49809,0.911103,-6.39377,0.444339,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.80356,1.9189,0.452848,3.27413,-0.966169,0.481648,0.911103,-6.39377,0.444339,8.55246,14.8922,0.557663,,,,,,,,,,,,,,,,,,,,,,,
39,1.74196,1.91057,0.456449,3.24878,-0.933526,0.501805,0.911103,-6.39377,0.444339,8.9075,15.2425,0.57732,3.134,10.9261,0.510247,,,,,,,,,,,,,,,,,,,,
40,1.7404,1.89013,0.454809,3.24878,-0.933526,0.501805,0.911103,-6.39377,0.444339,5.86257,1.90093,0.433425,8.8758,15.124,0.477143,2.99569,11.1018,0.468175,,,,,,,,,,,,,,,,,
41,1.77741,2.05926,0.444736,3.24878,-0.933526,0.501805,0.911103,-6.39377,0.444339,8.54608,15.3854,0.444409,3.06932,10.9373,0.49403,,,,,,,,,,,,,,,,,,,,
42,1.7652,1.99017,0.448926,3.24878,-0.933526,0.501805,8.60296,15.0052,0.497886,0.911103,-6.39377,0.444339,3.06932,10.9373,0.49403,,,,,,,,,,,,,,,,,,,,
43,1.78502,2.03067,0.451428,8.49152,15.1667,0.461353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.71018,2.03485,0.446738,9.01768,15.0473,0.537546,2.39785,11.2501,0.443092,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.75837,2.07673,0.441625,9.01649,15.2446,0.502708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.74372,1.9977,0.446355,7.27402,14.6338,0.502024,4.19183,10.242,0.49371,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.72887,1.97695,0.443116,7.8496,14.7335,0.500654,4.19731,10.1013,0.493368,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7.98943,14.9675,0.490168,2.46713,1.7688,0.467533,4.3103,10.0459,0.438906,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7.95976,14.637,0.483974,2.53911,1.81474,0.471492,3.87876,10.7659,0.452365,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7.94612,14.6579,0.479104,2.45216,1.77435,0.465538,3.87876,10.7659,0.452365,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7.94612,14.6579,0.479104,3.20316,-0.913509,0.495208,1.94572,1.29053,0.493908,3.92759,11.2807,0.46374,,,,,,,,,,,,,,,,,,,,,,,
52,7.80927,14.564,0.504735,3.12547,-0.923395,0.524462,1.98852,1.48403,0.490782,3.72141,11.517,0.506726,,,,,,,,,,,,,,,,,,,,,,,
53,7.81972,14.4675,0.504818,3.09538,-0.888055,0.507567,1.97813,1.33206,0.488111,3.77783,11.4653,0.50371,,,,,,,,,,,,,,,,,,,,,,,
54,7.55873,14.4046,0.478978,1.97813,1.33206,0.488111,3.77278,11.4459,0.497354,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7.52627,14.3822,0.473799,2.00321,1.38746,0.476116,3.84082,11.3822,0.493368,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7.52627,14.3822,0.473799,2.00321,1.38746,0.476116,3.84082,11.3822,0.493368,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6.1158,13.4867,0.513535,3.24081,-1.25517,0.502062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,8.27343,14.3949,0.479736,3.18406,-1.20922,0.513456,1.99517,1.44142,0.486835,3.74572,12.0917,0.568393,,,,,,,,,,,,,,,,,,,,,,,
59,8.28963,14.4702,0.485475,3.23629,-0.986574,0.537622,1.92244,1.59974,0.501989,4.10771,12.428,0.501272,,,,,,,,,,,,,,,,,,,,,,,
60,8.28963,14.4702,0.485475,3.23629,-0.986574,0.537622,1.90087,1.60566,0.502971,-0.604066,3.37656,0.493614,3.83498,11.9893,0.546253,,,,,,,,,,,,,,,,,,,,
61,8.31716,14.4854,0.470547,3.20884,-0.921163,0.545092,1.90087,1.60566,0.502971,3.83831,11.6465,0.600873,-0.679119,3.3075,0.511304,,,,,,,,,,,,,,,,,,,,
62,8.28663,14.4365,0.46922,3.25553,-0.996767,0.536417,1.93765,1.62383,0.522587,-0.778128,3.34492,0.533438,3.10784,12.9288,0.574393,,,,,,,,,,,,,,,,,,,,
63,8.28663,14.4365,0.46922,3.2294,-0.929843,0.544056,1.93765,1.62383,0.522587,-0.459583,4.10428,0.520019,,,,,,,,,,,,,,,,,,,,,,,
64,8.28663,14.4365,0.46922,3.2294,-0.929843,0.544056,1.93765,1.62383,0.522587,-0.459583,4.10428,0.520019,,,,,,,,,,,,,,,,,,,,,,,
65,8.34468,14.4155,0.479122,3.26315,-1.13575,0.559526,1.906,1.60894,0.51297,-0.936629,4.21179,0.542968,,,,,,,,,,,,,,,,,,,,,,,
66,8.26795,14.44,0.481275,1.92194,1.5737,0.514878,4.9635,10.3522,0.542021,-0.293764,4.34801,0.471439,,,,,,,,,,,,,,,,,,,,,,,
67,8.50033,14.6877,0.503726,-0.913475,4.46691,0.489644,4.76029,10.4117,0.586404,,,,,,,,,,,,,,,,,,,,,,,,,,
68,8.4981,14.7242,0.496268,-0.0676009,3.64957,0.554327,4.68244,10.4131,0.582517,,,,,,,,,,,,,,,,,,,,,,,,,,
69,8.4981,14.7242,0.496268,0.325124,3.21952,0.529604,4.47696,10.4728,0.580884,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.21093,14.4544,0.507195,0.0349339,3.62685,0.548962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,8.13118,14.4584,0.524905,0.587871,3.02494,0.53302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,8.13118,14.4584,0.524905,0.764873,2.79206,0.536352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,8.06248,14.0286,0.4486,0.356469,3.24463,0.541769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7.98038,13.1776,0.501918,0.92143,2.52069,0.521541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7.9912,13.0795,0.484609,0.510815,2.95508,0.52873,8.52077,-6.73503,0.466518,,,,,,,,,,,,,,,,,,,,,,,,,,
76,8.03635,13.969,0.450207,0.52545,2.93339,0.529539,7.53967,0.940846,0.46983,8.52077,-6.73503,0.466518,,,,,,,,,,,,,,,,,,,,,,,
77,8.00141,13.9882,0.478517,0.5483,2.92798,0.528502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,7.97571,14.0407,0.461597,1.31299,3.28424,0.487443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,7.98264,14.0408,0.449541,1.49162,3.32248,0.498652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7.98264,14.0408,0.449541,0.451567,3.00868,0.517761,4.17153,4.01676,0.470583,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7.97813,14.0158,0.460444,2.0668,2.37421,0.499139,7.30192,7.36502,0.474615,,,,,,,,,,,,,,,,,,,,,,,,,,
82,7.97813,14.0158,0.460444,0.647465,2.63532,0.517718,4.82793,4.4533,0.487197,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1.70085,3.13664,0.484187,7.99451,14.055,0.456498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.63575,3.35602,0.469586,8.06987,13.9834,0.413701,6.71934,0.0775918,0.445997,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1.82942,3.43685,0.486894,8.17776,14.491,0.410764,7.73166,0.624864,0.561341,,,,,,,,,,,,,,,,,,,,,,,,,,
86,8.19714,14.019,0.434526,1.43532,3.3331,0.48881,7.1401,0.159654,0.492783,,,,,,,,,,,,,,,,,,,,,,,,,,
87,8.16951,14.0351,0.458613,1.40072,3.34775,0.481769,7.65549,0.583403,0.522332,,,,,,,,,,,,,,,,,,,,,,,,,,
88,8.14524,14.001,0.470289,1.58637,3.51827,0.469928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,8.14013,13.9357,0.477166,1.42322,3.67966,0.483044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8.13354,13.9302,0.464214,1.46594,3.68356,0.492008,4.90988,10.1269,0.568655,,,,,,,,,,,,,,,,,,,,,,,,,,
91,8.10467,13.9569,0.468916,1.51711,3.67894,0.443799,4.94292,10.1442,0.560614,,,,,,,,,,,,,,,,,,,,,,,,,,
92,8.13393,14.0162,0.471816,0.19765,3.31793,0.462797,4.8881,4.68226,0.426832,-11.5103,5.15699,0.599468,,,,,,,,,,,,,,,,,,,,,,,
93,8.00338,14.01,0.464169,-0.433945,4.10086,0.461781,4.99773,10.1063,0.566231,4.73243,4.59869,0.484981,,,,,,,,,,,,,,,,,,,,,,,
94,8.03944,13.9736,0.449037,0.104755,4.54862,0.457577,5.02509,10.0395,0.563052,4.73128,4.55508,0.429459,,,,,,,,,,,,,,,,,,,,,,,
95,8.05826,14.0166,0.459847,-0.409406,4.07802,0.47883,4.95593,10.1503,0.582957,1.24406,6.62593,0.443865,4.73128,4.55508,0.429459,,,,,,,,,,,,,,,,,,,,
96,7.96017,14.1026,0.488061,0.210841,4.19004,0.497415,4.93318,10.0909,0.582136,,,,,,,,,,,,,,,,,,,,,,,,,,
97,7.93014,14.1489,0.506605,0.152639,4.07929,0.475486,4.93318,10.0909,0.582136,,,,,,,,,,,,,,,,,,,,,,,,,,
98,7.96017,14.1026,0.488061,1.38003,2.4088,0.482269,4.93318,10.0909,0.582136,0.530624,6.58902,0.527917,5.57011,4.11622,0.490804,,,,,,,,,,,,,,,,,,,,
99,7.08835,12.6376,0.467811,0.0796775,4.7449,0.498321,4.49092,0.128996,0.515682,5.3991,4.11011,0.479647,,,,,,,,,,,,,,,,,,,,,,,
100,7.08835,12.6376,0.467811,0.0643049,4.77891,0.496622,4.49092,0.128996,0.515682,5.42423,4.06069,0.478062,,,,,,,,,,,,,,,,,,,,,,,
101,0.0633601,4.04328,0.473829,7.1737,12.6801,0.475639,5.77276,3.97734,0.466285,,,,,,,,,,,,,,,,,,,,,,,,,,
102,-0.179978,3.61037,0.481541,7.9396,13.7946,0.414424,1.22721,6.79032,0.517162,5.79562,3.9974,0.49358,,,,,,,,,,,,,,,,,,,,,,,
103,0.45306,4.13967,0.485951,7.98922,13.9329,0.424423,5.43017,4.40647,0.458128,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.505265,3.88618,0.486219,7.98922,13.9329,0.424423,5.53904,4.43275,0.468812,,,,,,,,,,,,,,,,,,,,,,,,,,
105,-0.106937,4.20961,0.464606,8.08577,14.2723,0.462497,5.49372,4.43333,0.45456,,,,,,,,,,,,,,,,,,,,,,,,,,
106,-0.13585,4.16517,0.457966,8.31274,13.9372,0.432243,5.44552,2.53094,0.501626,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.0739001,4.27042,0.459088,8.40963,13.9132,0.411052,5.43815,2.64465,0.497029,,,,,,,,,,,,,,,,,,,,,,,,,,
108,-0.131992,4.32678,0.452631,8.38485,14.3868,0.396502,5.41545,2.4535,0.49339,,,,,,,,,,,,,,,,,,,,,,,,,,
109,-0.138315,4.26545,0.458192,8.38485,14.3868,0.396502,5.21606,1.85218,0.506692,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0882971,4.17362,0.471613,2.57357,-1.54348,0.464805,5.43796,3.27078,0.492255,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1.65912,3.53306,0.461458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0.852364,3.13054,0.484379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1.46994,3.18794,0.471761,8.23451,14.3215,0.394497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1.48687,3.21175,0.469317,8.12967,13.7834,0.380534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1.70058,3.19487,0.458862,8.08878,13.8753,0.425569,2.82176,-1.53474,0.501252,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.5969,3.30549,0.469026,8.14711,13.8574,0.408999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1.15161,3.38848,0.476629,8.13636,13.8612,0.419081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1.07032,3.19554,0.482714,8.16388,13.9171,0.394775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1.04422,3.25831,0.486962,8.16388,13.9171,0.394775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.917463,3.35049,0.48697,8.15493,13.9,0.374178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1.02366,3.36018,0.487185,8.18396,13.9589,0.394978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0.837251,3.39533,0.490873,8.15758,13.9278,0.387219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0.974138,3.35999,0.487089,8.16988,13.9592,0.400661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0.837347,3.43816,0.486632,8.16286,13.9491,0.383637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.781074,3.83452,0.490413,8.14507,13.9316,0.395804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.707656,4.06926,0.47393,8.13144,13.8851,0.391044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,-0.022167,4.45193,0.479953,8.21457,14.1445,0.387181,4.07131,1.07345,0.505919,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1.03978,3.4587,0.480819,8.13558,14.137,0.414234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0.0854891,4.33772,0.474448,8.21172,14.1155,0.377396,3.94081,0.847449,0.504314,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1.09583,3.48378,0.471729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1.01807,3.49684,0.476269,8.23154,14.1242,0.36703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1.09326,3.52516,0.465048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1.07173,3.49611,0.468856,7.96712,13.7173,0.431438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1.15268,3.46722,0.468042,8.00547,13.6754,0.429899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1.14545,3.4316,0.457586,8.16023,13.6001,0.417447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1.14269,3.42938,0.459021,7.93973,13.6919,0.416804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1.07275,3.48547,0.452265,7.80738,13.399,0.453883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1.04856,3.50087,0.452805,7.80738,13.399,0.453883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1.03511,3.53965,0.454971,7.79619,13.4296,0.442688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1.10817,3.50868,0.452552,7.79619,13.4296,0.442688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1.03511,3.53965,0.454971,7.79619,13.4296,0.442688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1.06646,3.56759,0.451047,7.76736,13.5053,0.456765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1.48137,3.17032,0.438003,8.17587,13.4317,0.456609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1.47892,3.20896,0.44414,8.23235,13.537,0.455228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1.38836,3.21923,0.440662,8.28369,13.512,0.464605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1.46896,3.24524,0.451893,8.23676,13.5452,0.468023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1.31255,3.40527,0.458119,8.32309,13.476,0.445822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1.31255,3.40527,0.458119,8.31656,13.4703,0.448621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.855751,3.85731,0.455941,8.10661,13.5191,0.478864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.292377,4.46032,0.44663,7.85205,13.075,0.473797,4.18067,1.11292,0.617571,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0.41589,4.39817,0.44456,8.15672,13.4177,0.475254,4.25536,1.16359,0.624221,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0.972769,3.91744,0.461502,8.15672,13.4177,0.475254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0.519156,4.39436,0.441611,8.16162,13.4222,0.472413,4.25536,1.16359,0.624221,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1.2368,3.43503,0.461924,8.16237,13.3898,0.476401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.595648,4.32438,0.458514,8.16497,13.4111,0.481782,3.78705,-0.821038,0.509502,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.996141,4.20523,0.471531,8.20721,13.4097,0.477662,3.78705,-0.821038,0.509502,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0.870197,4.21837,0.46216,8.12098,13.3353,0.482307,3.76619,-0.908696,0.510136,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1.48718,4.28623,0.473972,8.12356,13.3699,0.471644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.851565,4.53369,0.471599,8.08299,13.4184,0.471953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.886758,4.47707,0.47194,8.07445,13.3585,0.47628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.933624,4.51701,0.470557,8.06438,13.4093,0.468754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0.351783,4.30141,0.453528,8.09304,13.3578,0.464314,3.57283,-0.6882,0.493189,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0.521573,4.3345,0.446941,8.09304,13.3578,0.464314,3.99538,0.245708,0.481475,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1.62729,2.97247,0.462554,8.08206,13.3445,0.468847,4.07147,9.14164,0.420142,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.622877,4.30783,0.449629,8.08206,13.3445,0.468847,3.93922,-0.0158423,0.496389,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.613186,4.29589,0.448876,8.08206,13.3445,0.468847,3.9376,-0.0268737,0.487204,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0.535825,4.29152,0.449927,8.08568,13.4283,0.457402,3.79006,-0.124494,0.506152,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1.68795,2.8981,0.476335,8.03448,13.447,0.450943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1.71612,2.89661,0.477357,8.03448,13.447,0.450943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.78036,2.67244,0.471699,8.04486,13.4744,0.431181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1.71417,2.62731,0.465576,8.0438,13.4707,0.431759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1.61937,2.69327,0.464002,8.05318,13.5059,0.422664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1.09681,2.55595,0.449151,8.02828,13.5009,0.434533,4.5192,3.46057,0.526958,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1.67265,2.67349,0.454496,8.12687,13.6225,0.428198,1.05884,-4.23787,0.504501,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1.96104,2.20368,0.467893,8.12687,13.6225,0.428198,0.835747,-4.35692,0.527854,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1.79461,2.25187,0.470711,8.13841,13.6443,0.429405,0.890762,-4.34554,0.537748,,,,,,,,,,,,,,,,,,,,,,,,,,
177,-0.119332,4.16818,0.437575,8.13841,13.6443,0.429405,3.32999,0.488003,0.491931,0.726623,-4.39338,0.555111,,,,,,,,,,,,,,,,,,,,,,,
178,-0.108863,4.16964,0.431098,8.0919,13.6574,0.430868,3.25838,0.466229,0.496385,1.33005,-4.30861,0.534002,,,,,,,,,,,,,,,,,,,,,,,
179,-0.0617265,4.20318,0.425523,8.08034,13.6227,0.395839,3.18005,0.568721,0.498836,0.903604,-4.67864,0.523087,,,,,,,,,,,,,,,,,,,,,,,
180,-0.040472,4.15424,0.436752,8.06835,13.5906,0.397659,3.02435,0.579892,0.50343,0.87606,-4.86399,0.507198,,,,,,,,,,,,,,,,,,,,,,,
181,1.62424,2.10228,0.461452,8.09575,13.6449,0.402926,0.927562,-4.7388,0.513246,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1.71171,2.1281,0.455654,8.23123,13.5851,0.406115,1.24315,-4.51707,0.513624,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1.74579,2.07832,0.45553,8.18692,13.5694,0.4295,1.43889,-4.56872,0.523408,,,,,,,,,,,,,,,,,,,,,,,,,,
184,-0.089237,4.01279,0.401041,8.19538,13.6464,0.368669,3.6674,1.37951,0.503019,1.42889,-4.32448,0.57047,,,,,,,,,,,,,,,,,,,,,,,
185,2.21736,1.31884,0.473412,8.19916,13.6401,0.366211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1.96137,1.03477,0.473758,8.28436,13.5917,0.397189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2.35317,2.12853,0.477771,8.28105,13.5435,0.386574,1.21483,-4.44196,0.53686,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2.79469,2.32042,0.480554,8.24122,13.5735,0.376051,1.45899,-4.10596,0.479852,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2.44974,1.32323,0.503266,8.24097,13.5825,0.359337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2.37261,1.45668,0.501789,8.28675,13.476,0.381301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2.70372,1.74834,0.499722,8.31742,13.4788,0.381404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2.638,1.74425,0.499722,8.41113,13.4967,0.418411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2.7302,1.9532,0.502333,8.41113,13.4967,0.418411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2.58272,1.72019,0.496201,8.41113,13.4967,0.418411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
