New mode =, SurroundingModel , dataset_limit=,1500,estimation_limit=,300,estimation_dist=,0.9,estimation_min_group_size=,15,threshold_hit=,0,threshold_distance=,0.5,hit_score=,1,miss_score=,-4,hit_position=,0.5,miss_position=,0.9,nearest_sum_n=,2,queue_sum_n=,1,input_coef_avg_best=,0.1,output_size_avg_best=,0,random_sample_coef=,0.4,input_size_avg_worst=,1500,output_coef_avg_worst=,0
22,2.43212,6.97227,0.431423,7.27078,20.1486,0.505367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.72857,7.63139,0.439795,7.26364,19.9802,0.506172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.23531,9.10971,0.44429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.60072,7.39861,0.432496,7.31358,20.0162,0.509055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.63186,7.46318,0.429141,7.30388,20.0583,0.509554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.61506,7.47149,0.430661,7.27881,20.0188,0.494155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.65799,7.50993,0.42267,7.27881,20.0188,0.494155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.63429,7.50314,0.4288,7.25577,19.9823,0.4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.65277,7.52267,0.414433,7.23729,19.963,0.490745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.19001,5.29849,0.451508,7.41642,20.5114,0.461521,4.98594,13.8484,0.367018,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.72508,7.71616,0.41982,7.31723,20.0205,0.493592,-0.569835,8.44261,0.502305,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.38252,7.97619,0.439374,7.44627,20.5625,0.435056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.36543,8.1208,0.439288,7.31723,20.0205,0.493592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.4202,8.10399,0.42859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.26396,8.01535,0.44057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.33911,7.79646,0.43033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.61154,8.31733,0.432947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.69059,8.19904,0.429996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.9317,8.21104,0.413515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.90182,7.87391,0.423782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.85661,7.69987,0.423245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.67929,7.5828,0.415833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.79043,7.69967,0.417594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.712719,1.94717,0.382714,3.31642,10.1749,0.413049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.23541,10.1104,0.409767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3.20057,10.0841,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.81276,9.15446,0.425771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3.15025,9.96933,0.411836,0.804988,2.61803,0.508588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.89757,9.9501,0.425613,0.818694,2.69031,0.542513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.04651,9.88143,0.435867,0.752912,2.69756,0.532101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.92233,9.91933,0.428239,0.752912,2.69756,0.532101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.66961,8.3591,0.441902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.82138,9.86974,0.449481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.06542,10.2547,0.439595,1.08122,2.41999,0.445633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.72778,10.1353,0.443987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.00121,10.582,0.442848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.90002,10.497,0.453639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.90913,10.5034,0.451035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.04065,10.5191,0.429952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.10438,10.4033,0.422922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.04287,9.92995,0.442943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.8337,9.89629,0.439373,0.213657,2.7706,0.524168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2.60507,9.81956,0.451438,0.234497,2.70031,0.529444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.58699,9.93051,0.444328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2.71125,10.1443,0.453903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2.53377,9.75034,0.458403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2.54273,9.79861,0.461278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2.67241,9.81775,0.462516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.83682,10.3245,0.421036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.72609,9.94115,0.434025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2.58674,9.82416,0.428896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.498,10.1671,0.440087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.00763,10.161,0.436476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.72951,10.0878,0.454044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2.67507,9.77011,0.454563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2.70632,9.70662,0.453171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2.56233,10.0203,0.440806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2.57766,10.1398,0.43883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2.40938,10.3764,0.430095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2.35518,10.2781,0.426839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2.32635,9.98567,0.419855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2.15744,9.94933,0.412666,-1.1106,3.6683,0.462649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2.14336,9.9179,0.406824,-0.676282,3.33188,0.445953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2.31199,9.981,0.415552,-0.640913,3.28882,0.432772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2.29125,9.95595,0.410206,-0.640913,3.28882,0.432772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2.31162,9.9601,0.421783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2.24707,10.0324,0.424451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2.44059,10.2129,0.423604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2.52365,10.1925,0.424538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2.5008,10.3773,0.421788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2.60446,10.4098,0.424338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2.53596,10.515,0.416124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2.5395,10.5101,0.418767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2.5252,10.6061,0.402969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2.78377,10.8778,0.415315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2.78681,10.7208,0.420212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2.62438,10.5978,0.416653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2.64189,10.5347,0.423495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.59057,10.6819,0.422906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2.38451,10.6007,0.401727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2.33047,10.5161,0.416391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2.41744,10.6439,0.40644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2.32193,10.5063,0.39822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.1435,10.4531,0.408167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2.05979,10.4112,0.416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1.95465,10.4223,0.418715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2.06084,10.4578,0.409322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2.02083,10.4683,0.417377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1.95991,10.4777,0.420937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1.94058,10.5384,0.413502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.98372,10.6094,0.40708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1.91417,10.6655,0.413565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1.88297,10.6107,0.413128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1.95146,10.5834,0.413737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.99676,10.6157,0.409026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1.94469,10.5874,0.411005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1.95608,10.5541,0.411346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2.08641,10.5343,0.420068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2.07722,10.6407,0.417506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2.05123,10.6527,0.417215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2.00877,10.5464,0.409203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2.08322,10.6864,0.413991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2.07136,10.7287,0.409649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2.10278,10.7406,0.414617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2.09882,10.7214,0.414604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2.13582,10.6861,0.408142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2.21739,10.6617,0.404105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2.14091,10.6092,0.408147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2.09222,10.576,0.409542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1.92243,10.3849,0.412651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1.91547,10.3649,0.413108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1.96097,10.4443,0.417245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1.96911,10.4765,0.419282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1.97945,10.4658,0.419922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1.94955,10.4681,0.416245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1.99965,10.4664,0.42154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2.10751,10.6067,0.418915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2.02955,10.4726,0.420423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2.13127,10.6534,0.419604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2.17984,10.697,0.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2.16008,10.7436,0.420509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2.1851,10.7568,0.419642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2.17136,10.7284,0.41838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2.03945,10.5569,0.421584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2.14096,10.6772,0.415222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2.13642,10.6561,0.415524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2.11495,10.6592,0.417114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2.11936,10.6513,0.41471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2.12681,10.6631,0.419162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2.1419,10.6407,0.41294,-0.452777,6.64118,0.501856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2.15933,10.6828,0.413487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2.16811,10.6715,0.41241,-0.393866,6.71018,0.500642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2.21154,10.7422,0.410382,-0.275083,6.92107,0.515709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2.18026,10.6963,0.417104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2.17743,10.7224,0.412051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2.17422,10.6373,0.406182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2.152,10.6794,0.405372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2.10433,10.6877,0.412054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1.97992,10.6822,0.40696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1.96068,10.6669,0.417152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1.96237,10.6849,0.404551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1.93264,10.6145,0.401822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1.93755,10.6212,0.404148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1.9126,10.5805,0.398676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1.94187,10.6352,0.391528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1.94179,10.6012,0.397637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1.90676,10.65,0.40127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1.906,10.6466,0.402299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.88683,10.6562,0.403119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1.83884,10.6668,0.402963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1.83978,10.6672,0.408124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1.8519,10.7089,0.401596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1.85496,10.7115,0.399234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1.8575,10.694,0.398056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1.79194,10.708,0.40168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1.81561,10.7735,0.403063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1.78096,10.7611,0.39704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1.75868,10.7189,0.398921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.75066,10.769,0.393915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1.7821,10.7883,0.395781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1.81322,10.7974,0.392346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1.82318,10.8003,0.395891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.82196,10.8173,0.393755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1.82613,10.8372,0.39817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1.88318,10.9163,0.398194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1.8993,10.9255,0.399784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1.81552,10.9601,0.398409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1.81129,10.8808,0.396212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1.81412,10.8698,0.390641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1.81107,10.856,0.391382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1.80446,10.8744,0.390249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1.82003,10.8332,0.394283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1.94355,10.8999,0.391899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1.94611,10.914,0.391499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1.94355,10.8999,0.391899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1.94563,10.7107,0.388899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1.86964,10.7869,0.387111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1.9883,10.7588,0.385109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2.02112,10.7756,0.381369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2.03293,10.6707,0.382724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2.03481,10.6601,0.383594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2.03293,10.6707,0.382724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2.03293,10.6707,0.382724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2.04068,10.6874,0.384249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2.03022,10.6629,0.384391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2.03088,10.6735,0.38197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2.0043,10.796,0.374702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2.08545,10.7954,0.37434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2.05528,10.7689,0.367201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2.04934,10.5043,0.380349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2.04743,10.512,0.379745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2.05519,10.5121,0.380876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2.0825,10.517,0.38139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2.10004,10.4958,0.382543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2.09519,10.5213,0.378077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2.11569,10.4803,0.381829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2.107,10.5196,0.37776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2.09518,10.6331,0.374565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2.14195,10.6258,0.378576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2.21313,10.5844,0.37765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2.18069,10.633,0.374262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2.32451,10.6836,0.372034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
